@relation fact
@attribute cap.diameter numeric
@attribute habitat {'d','g','h','l','m','p','u','w'}
@attribute class {'e','p'}
@data
16.82,'d','p'
15.35,'d','p'
14.34,'d','p'
13.99,'d','p'
16.46,'d','p'
15.72,'d','p'
15.73,'d','p'
14.81,'d','p'
16.51,'d','p'
14.05,'d','p'
13.23,'d','p'
13.68,'d','p'
15.42,'d','p'
15.37,'d','p'
17.31,'d','p'
14.84,'d','p'
13.95,'d','p'
13.43,'d','p'
16.39,'d','p'
11.7,'d','p'
12.6,'d','p'
16.16,'d','p'
12.67,'d','p'
15.52,'d','p'
15.26,'d','p'
16.2,'d','p'
16.82,'d','p'
15.27,'d','p'
12.1,'d','p'
14.28,'d','p'
15.03,'d','p'
18.1,'d','p'
16.69,'d','p'
11.3,'d','p'
14.66,'d','p'
13.99,'d','p'
13.62,'d','p'
14.49,'d','p'
14.16,'d','p'
18.89,'d','p'
13.03,'d','p'
12.8,'d','p'
13.7,'d','p'
14.42,'d','p'
14.45,'d','p'
16.11,'d','p'
15.61,'d','p'
14.93,'d','p'
15.58,'d','p'
15.98,'d','p'
15.62,'d','p'
16.79,'d','p'
13.6,'d','p'
15.3,'d','p'
16.08,'d','p'
13.43,'d','p'
16.24,'d','p'
16.78,'d','p'
16.26,'d','p'
12.59,'d','p'
16.68,'d','p'
14.89,'d','p'
14.72,'d','p'
13.59,'d','p'
16.07,'d','p'
6.87,'d','p'
8.59,'d','p'
5.95,'d','p'
6.51,'d','p'
7.66,'d','p'
6.4,'d','p'
7.06,'d','p'
6.32,'d','p'
8.8,'d','p'
7.5,'d','p'
6.44,'d','p'
6.64,'d','p'
6.93,'d','p'
8.23,'d','p'
7.37,'d','p'
8.49,'d','p'
7.05,'d','p'
5.92,'d','p'
8.91,'d','p'
8.71,'d','p'
8.79,'d','p'
7.09,'d','p'
8.08,'d','p'
7.63,'d','p'
6.39,'d','p'
6.86,'d','p'
8.85,'d','p'
7.73,'d','p'
5.84,'d','p'
6.5,'d','p'
6.58,'d','p'
7.2,'d','p'
5.55,'d','p'
6.63,'d','p'
6.83,'d','p'
6.3,'d','p'
8.82,'d','p'
7.33,'d','p'
8.5,'d','p'
8.07,'d','p'
6.85,'d','p'
7.44,'d','p'
7.19,'d','p'
7.07,'d','p'
7.81,'d','p'
6.08,'d','p'
8.01,'d','p'
7.5,'d','p'
8.47,'d','p'
6.36,'d','p'
7.53,'d','p'
7.62,'d','p'
6.18,'d','p'
6.67,'d','p'
5.61,'d','p'
8.08,'d','p'
6.37,'d','p'
6.25,'d','p'
6.8,'d','p'
6.71,'d','p'
8.38,'d','p'
6.52,'d','p'
5.73,'d','p'
8.03,'d','p'
8.25,'d','p'
9,'d','p'
7.97,'d','p'
7.45,'d','p'
6.27,'d','p'
7.38,'d','p'
7.02,'d','p'
6.9,'d','p'
7.22,'d','p'
7.67,'d','p'
7.83,'d','p'
6.11,'d','p'
7.81,'d','p'
6.59,'d','p'
6.59,'d','p'
8.66,'d','p'
7.9,'d','p'
6.69,'d','p'
7.58,'d','p'
7.22,'d','p'
7.37,'d','p'
7.76,'d','p'
6.84,'d','p'
7.7,'d','p'
9.14,'d','p'
7.94,'d','p'
6.37,'d','p'
7.25,'d','p'
8.28,'d','p'
7.18,'d','p'
5.5,'d','p'
7,'d','p'
6.4,'d','p'
8.54,'d','p'
8.18,'d','p'
8.41,'d','p'
7.43,'d','p'
7.59,'d','p'
7.52,'d','p'
8.1,'d','p'
6.87,'d','p'
6.91,'d','p'
8,'d','p'
8.48,'d','p'
7.47,'d','p'
7.72,'d','p'
6.29,'d','p'
7.24,'d','p'
8.2,'d','p'
8.59,'d','p'
7.43,'d','p'
7.86,'d','p'
9.89,'d','p'
8.61,'d','p'
7.17,'d','p'
7.08,'d','p'
6.57,'d','p'
7.7,'d','p'
7.21,'d','p'
7.83,'d','p'
7.53,'d','p'
7.93,'d','p'
7.93,'d','p'
8.7,'d','p'
7.09,'d','p'
8.35,'d','p'
6.15,'d','p'
6.06,'d','p'
7.69,'d','p'
6.92,'d','p'
7.67,'d','p'
6.79,'d','p'
6.83,'d','p'
6.38,'d','p'
6.93,'d','p'
7.71,'d','p'
8.43,'d','p'
7.25,'d','p'
7.7,'d','p'
7.83,'d','p'
7.75,'d','p'
8.94,'d','p'
6.34,'d','p'
5.85,'d','p'
7.54,'d','p'
6.96,'d','p'
8,'d','p'
8.76,'d','p'
7.42,'d','p'
6.71,'d','p'
7.13,'d','p'
8.33,'d','p'
7.24,'d','p'
8.7,'d','p'
7.66,'d','p'
8.14,'d','p'
7.42,'d','p'
8.01,'d','p'
7.71,'d','p'
7.94,'d','p'
8.53,'d','p'
7.82,'d','p'
7.18,'d','p'
6.91,'d','p'
7.69,'d','p'
7.39,'d','p'
8.05,'d','p'
6.26,'d','p'
7.17,'d','p'
7.52,'d','p'
7.56,'d','p'
8.43,'d','p'
6.43,'d','p'
7.97,'d','p'
8.54,'d','p'
6.05,'d','p'
8.84,'d','p'
6.29,'d','p'
9.15,'d','p'
6.59,'d','p'
7.38,'d','p'
7.61,'d','p'
9.06,'d','p'
7.31,'d','p'
8.19,'d','p'
7.86,'d','p'
8.03,'d','p'
8.38,'d','p'
6.44,'d','p'
7.33,'d','p'
7.97,'d','p'
7.13,'d','p'
7.02,'d','p'
8.6,'d','p'
8.22,'d','p'
6.49,'d','p'
6.88,'d','p'
7.77,'d','p'
7.7,'d','p'
6.14,'d','p'
8.26,'d','p'
8.88,'d','p'
6.77,'d','p'
7.86,'d','p'
7.21,'d','p'
7.92,'d','p'
8.04,'d','p'
7.78,'d','p'
8.11,'d','p'
8.84,'d','p'
7.24,'d','p'
8.61,'d','p'
7.69,'d','p'
8.14,'d','p'
6.06,'d','p'
5.68,'d','p'
8.2,'d','p'
8.62,'d','p'
6.63,'d','p'
7.72,'d','p'
6.24,'d','p'
7.79,'d','p'
8.21,'d','p'
7.08,'d','p'
8.44,'d','p'
7.29,'d','p'
9.1,'d','p'
7.54,'d','p'
8.28,'d','p'
7.37,'d','p'
8.23,'d','p'
8.45,'d','p'
8.31,'d','p'
7.03,'d','p'
8.49,'d','p'
6.64,'d','p'
8.87,'d','p'
6.58,'d','p'
6.8,'d','p'
7.59,'d','p'
7.42,'d','p'
8.63,'d','p'
8.05,'d','p'
7.31,'d','p'
9.3,'d','p'
8.19,'d','p'
7.74,'d','p'
7.55,'d','p'
8.27,'d','p'
5.81,'d','p'
7.03,'d','p'
6.88,'d','p'
7.19,'d','p'
8.01,'d','p'
7.65,'d','p'
6.28,'d','p'
7.42,'d','p'
6.44,'d','p'
8.36,'d','p'
7.53,'d','p'
7.64,'d','p'
7.36,'d','p'
6.32,'d','p'
7.77,'d','p'
5.18,'d','p'
6.99,'d','p'
7.75,'d','p'
7.65,'d','p'
6.87,'d','p'
8.44,'d','p'
7.81,'d','p'
7.68,'d','p'
8.57,'d','p'
7.25,'d','p'
8.34,'d','p'
7.06,'d','p'
5.94,'d','p'
8.89,'d','p'
7.62,'d','p'
8.08,'d','p'
8.05,'d','p'
6.43,'d','p'
6.99,'d','p'
6.66,'d','p'
7.37,'d','p'
6.46,'d','p'
6.68,'d','p'
6.15,'d','p'
8.8,'d','p'
7.8,'d','p'
7.51,'d','p'
6.4,'d','p'
7.64,'d','p'
6.69,'d','p'
8.64,'d','p'
6.74,'d','p'
6.23,'d','p'
6.38,'d','p'
8.36,'d','p'
7.99,'d','p'
8.28,'d','p'
7.98,'d','p'
6.14,'d','p'
7.02,'d','p'
7.66,'d','p'
6.91,'d','p'
8.63,'d','p'
7.96,'d','p'
7.75,'d','p'
9.14,'d','p'
6.21,'d','p'
7.85,'d','p'
7.52,'d','p'
8.29,'d','p'
7.33,'d','p'
7.43,'d','p'
8.26,'d','p'
8.46,'d','p'
8.33,'d','p'
7.07,'d','p'
8.41,'d','p'
6.6,'d','p'
7.93,'d','p'
7.85,'d','p'
6.32,'d','p'
7.51,'d','p'
6.97,'d','p'
7.1,'d','p'
8.43,'d','p'
6.15,'d','p'
9.98,'d','p'
7.48,'d','p'
7.93,'d','p'
5.6,'d','p'
7.11,'d','p'
8.66,'d','p'
8.08,'d','p'
7.76,'d','p'
6.41,'d','p'
8.46,'d','p'
7.39,'d','p'
7.47,'d','p'
7.62,'d','p'
9.23,'d','p'
8.12,'d','p'
7.9,'d','p'
8.36,'d','p'
6.64,'d','p'
7.57,'d','p'
11.82,'d','p'
11.96,'d','p'
10.47,'d','p'
11.94,'d','p'
13.15,'d','p'
11.99,'d','p'
11.44,'d','p'
11.84,'d','p'
12.26,'d','p'
13.34,'d','p'
12.42,'d','p'
12.48,'d','p'
12.68,'d','p'
13.92,'d','p'
12.37,'d','p'
13.21,'d','p'
11.17,'d','p'
11.71,'d','p'
12.69,'d','p'
13.31,'d','p'
11.78,'d','p'
12.74,'d','p'
11.6,'d','p'
12.27,'d','p'
11.49,'d','p'
13.31,'d','p'
12.32,'d','p'
11.23,'d','p'
13.02,'d','p'
12.33,'d','p'
13.21,'d','p'
12.48,'d','p'
12.62,'d','p'
12.59,'d','p'
12.32,'d','p'
12.79,'d','p'
13.55,'d','p'
12.5,'d','p'
12.16,'d','p'
13.57,'d','p'
12.43,'d','p'
12.44,'d','p'
11.39,'d','p'
13.9,'d','p'
12.75,'d','p'
13.05,'d','p'
12.13,'d','p'
11.09,'d','p'
12.02,'d','p'
10.76,'d','p'
12.14,'d','p'
12.56,'d','p'
12.23,'d','p'
12.32,'d','p'
12.72,'d','p'
11.61,'d','p'
13.13,'d','p'
12.96,'d','p'
11.93,'d','p'
11.41,'d','p'
11.06,'d','p'
10.88,'d','p'
11.19,'d','p'
12.38,'d','p'
12.28,'d','p'
12.96,'d','p'
13.22,'d','p'
13.46,'d','p'
13.17,'d','p'
12.41,'d','p'
12.1,'d','p'
10.3,'d','p'
12.17,'d','p'
12.72,'d','p'
13.51,'d','p'
11.29,'d','p'
12.4,'d','p'
14.55,'d','p'
12.41,'d','p'
12.22,'d','p'
13.14,'d','p'
12.25,'d','p'
12.54,'d','p'
12.3,'d','p'
11.87,'d','p'
13.61,'d','p'
11.14,'d','p'
12.23,'d','p'
13.24,'d','p'
13.26,'d','p'
11.91,'d','p'
13.65,'d','p'
12.25,'d','p'
12.42,'d','p'
12.06,'d','p'
12.61,'d','p'
12.7,'d','p'
13.5,'d','p'
11.8,'d','p'
12.68,'d','p'
14.02,'d','p'
11.35,'d','p'
12.08,'d','p'
13.61,'d','p'
11.86,'d','p'
12.38,'d','p'
13.05,'d','p'
12.07,'d','p'
14.08,'d','p'
12.49,'d','p'
13.39,'d','p'
12.35,'d','p'
12.44,'d','p'
12.95,'d','p'
11.9,'d','p'
13.7,'d','p'
13.92,'d','p'
13.35,'d','p'
11.12,'d','p'
13.17,'d','p'
11.21,'d','p'
13.78,'d','p'
11.95,'d','p'
12.24,'d','p'
12.02,'d','p'
12.39,'d','p'
13.25,'d','p'
11.35,'d','p'
11.73,'d','p'
12.89,'d','p'
11.67,'d','p'
13.72,'d','p'
14.1,'d','p'
13.04,'d','p'
11.88,'d','p'
12.04,'d','p'
12.33,'d','p'
12.87,'d','p'
12.61,'d','p'
10.72,'d','p'
12.61,'d','p'
12.21,'d','p'
11.9,'d','p'
13,'d','p'
12.92,'d','p'
11.1,'d','p'
12.98,'d','p'
11.26,'d','p'
13.35,'d','p'
10.59,'d','p'
12.95,'d','p'
12.83,'d','p'
12.69,'d','p'
12.52,'d','p'
12.28,'d','p'
12.56,'d','p'
13.32,'d','p'
13.68,'d','p'
13.73,'d','p'
12.27,'d','p'
12,'d','p'
11.91,'d','p'
13.91,'d','p'
12.57,'d','p'
11.64,'d','p'
13.03,'d','p'
11,'d','p'
11.37,'d','p'
12.66,'d','p'
10.89,'d','p'
12.38,'d','p'
12.32,'d','p'
12.03,'d','p'
12.79,'d','p'
11.88,'d','p'
13.57,'d','p'
11.51,'d','p'
11.85,'d','p'
11.68,'d','p'
12.05,'d','p'
12.83,'d','p'
12.76,'d','p'
13.47,'d','p'
12.24,'d','p'
12.4,'d','p'
13.37,'d','p'
12.5,'d','p'
12.88,'d','p'
10.8,'d','p'
13.17,'d','p'
13.76,'d','p'
12.29,'d','p'
12.25,'d','p'
13.41,'d','p'
12.98,'d','p'
11.92,'d','p'
13.26,'d','p'
13.5,'d','p'
12.54,'d','p'
12.99,'d','p'
13.55,'d','p'
12.52,'d','p'
11.97,'d','p'
11.24,'d','p'
13.55,'d','p'
11.07,'d','p'
11.65,'d','p'
12.71,'d','p'
13.4,'d','p'
13.54,'d','p'
12.02,'d','p'
11.89,'d','p'
13.55,'d','p'
13.55,'d','p'
11.79,'d','p'
11.88,'d','p'
13.35,'d','p'
12.53,'d','p'
10.43,'d','p'
11.98,'d','p'
13.16,'d','p'
12.64,'d','p'
10.79,'d','p'
13.1,'d','p'
11,'d','p'
13.2,'d','p'
12.72,'d','p'
12.31,'d','p'
13.26,'d','p'
13.14,'d','p'
11.96,'d','p'
12.4,'d','p'
11.38,'d','p'
11.34,'d','p'
13.79,'d','p'
12.86,'d','p'
11.9,'d','p'
12.98,'d','p'
12.68,'d','p'
11.91,'d','p'
11.83,'d','p'
12.09,'d','p'
11.99,'d','p'
12.21,'d','p'
12.14,'d','p'
12,'d','p'
12.7,'d','p'
12.12,'d','p'
12.2,'d','p'
13.19,'d','p'
13.52,'d','p'
12.67,'d','p'
11.32,'d','p'
12.83,'d','p'
13.14,'d','p'
12.27,'d','p'
13.01,'d','p'
12.03,'d','p'
12.98,'d','p'
13.71,'d','p'
13.42,'d','p'
12.62,'d','p'
11.09,'d','p'
13.12,'d','p'
13,'d','p'
11.92,'d','p'
13.93,'d','p'
11.68,'d','p'
13.12,'d','p'
12.07,'d','p'
11.32,'d','p'
12.06,'d','p'
12.42,'d','p'
12.3,'d','p'
13.17,'d','p'
11.4,'d','p'
12.51,'d','p'
10.39,'d','p'
12.05,'d','p'
12.02,'d','p'
10.5,'d','p'
13.07,'d','p'
11.88,'d','p'
11.47,'d','p'
11.76,'d','p'
11.85,'d','p'
12.39,'d','p'
12.84,'d','p'
13.59,'d','p'
13.22,'d','p'
12.74,'d','p'
13.59,'d','p'
10.76,'d','p'
13.4,'d','p'
12.32,'d','p'
13.3,'d','p'
11.77,'d','p'
11.27,'d','p'
12.12,'d','p'
13.1,'d','p'
13.09,'d','p'
10.96,'d','p'
13.29,'d','p'
11.95,'d','p'
12.05,'d','p'
12.79,'d','p'
12.48,'d','p'
11.38,'d','p'
12.82,'d','p'
10.81,'d','p'
12.54,'d','p'
11.14,'d','p'
12.5,'d','p'
11.37,'d','p'
12.33,'d','p'
14.13,'d','p'
12.24,'d','p'
11.09,'d','p'
12.62,'d','p'
12.25,'d','p'
13.31,'d','p'
12.49,'d','p'
13.61,'d','p'
13.86,'d','p'
12.85,'d','p'
13.28,'d','p'
11.72,'d','p'
12.66,'d','p'
12.52,'d','p'
11.98,'d','p'
11.73,'d','p'
12.96,'d','p'
13.06,'d','p'
11.75,'d','p'
13.26,'d','p'
10.51,'d','p'
12.94,'d','p'
13.33,'d','p'
13.46,'d','p'
13.43,'d','p'
13.5,'d','p'
13.1,'d','p'
12,'d','p'
11.15,'d','p'
11.78,'d','p'
12.1,'d','p'
13.6,'d','p'
12.5,'d','p'
11.38,'d','p'
13.92,'d','p'
11.26,'d','p'
12.54,'d','p'
10.95,'d','p'
10.42,'d','e'
9.59,'d','e'
9.1,'d','e'
8.86,'d','e'
9.59,'d','e'
8.4,'d','e'
10.5,'d','e'
7.68,'d','e'
7.3,'d','e'
9.03,'d','e'
9.1,'d','e'
8.84,'d','e'
10.55,'d','e'
9.4,'d','e'
9.3,'d','e'
10.24,'d','e'
11.55,'d','e'
11.31,'d','e'
8.58,'d','e'
7.82,'d','e'
7.17,'d','e'
5.49,'d','e'
8.92,'d','e'
10.15,'d','e'
12.56,'d','e'
8.12,'d','e'
10.09,'d','e'
9.99,'d','e'
10.82,'d','e'
10.96,'d','e'
9.25,'d','e'
10.5,'d','e'
10.62,'d','e'
11.53,'d','e'
8.28,'d','e'
9.21,'d','e'
10.47,'d','e'
9.59,'d','e'
10.1,'d','e'
9.67,'d','e'
11.34,'d','e'
11.68,'d','e'
11.55,'d','e'
7.51,'d','e'
9.2,'d','e'
12.59,'d','e'
12.09,'d','e'
7.02,'d','e'
9.39,'d','e'
7.78,'d','e'
9.13,'d','e'
12.09,'d','e'
11.57,'d','e'
10.91,'d','e'
10.27,'d','e'
9.62,'d','e'
12.8,'d','e'
13.1,'d','e'
10.19,'d','e'
10.14,'d','e'
7.01,'d','e'
6.76,'d','e'
6.93,'d','e'
9.17,'d','e'
11.17,'d','e'
11.05,'d','e'
8.67,'d','e'
6.54,'d','e'
12.99,'d','e'
10.17,'d','e'
8.58,'d','e'
10.65,'d','e'
10.75,'d','e'
10.72,'d','e'
10.3,'d','e'
9.21,'d','e'
6.82,'d','e'
9.36,'d','e'
8.05,'d','e'
8.39,'d','e'
7.64,'d','e'
10.5,'d','e'
8.43,'d','e'
9.35,'d','e'
9.61,'d','e'
12.34,'d','e'
8.2,'d','e'
10.01,'d','e'
11.4,'d','e'
9.11,'d','e'
10.85,'d','e'
9.8,'d','e'
7.83,'d','e'
9.92,'d','e'
8.75,'d','e'
7.8,'d','e'
10.24,'d','e'
10.48,'d','e'
9.7,'d','e'
6.9,'d','e'
10.01,'d','e'
7.46,'d','e'
8.08,'d','e'
8.62,'d','e'
8.06,'d','e'
8.69,'d','e'
9.25,'d','e'
8.75,'d','e'
11.52,'d','e'
15.07,'d','e'
12.23,'d','e'
11.9,'d','e'
11.37,'d','e'
7.05,'d','e'
11.41,'d','e'
5.6,'d','e'
6.95,'d','e'
12.44,'d','e'
8.19,'d','e'
11.65,'d','e'
12.47,'d','e'
12.69,'d','e'
10.26,'d','e'
9.22,'d','e'
8.68,'d','e'
9.55,'d','e'
10.75,'d','e'
9.95,'d','e'
10.29,'d','e'
10.12,'d','e'
9.08,'d','e'
11.85,'d','e'
9.31,'d','e'
11.2,'d','e'
9.57,'d','e'
10.95,'d','e'
8.58,'d','e'
9.17,'d','e'
10.2,'d','e'
7.84,'d','e'
8.84,'d','e'
9.93,'d','e'
7.87,'d','e'
13.21,'d','e'
8.74,'d','e'
7.86,'d','e'
12.83,'d','e'
9.88,'d','e'
10.44,'d','e'
9.97,'d','e'
5.57,'d','e'
7.55,'d','e'
10.97,'d','e'
8.9,'d','e'
10.76,'d','e'
8.82,'d','e'
8.21,'d','e'
9.68,'d','e'
9.45,'d','e'
10.21,'d','e'
9.11,'d','e'
8.34,'d','e'
11.29,'d','e'
8.01,'d','e'
10.87,'d','e'
12.08,'d','e'
11.38,'d','e'
7.05,'d','e'
8.28,'d','e'
7.67,'d','e'
10.03,'d','e'
11.14,'d','e'
9,'d','e'
11.49,'d','e'
8.43,'d','e'
11.58,'d','e'
12.02,'d','e'
12.49,'d','e'
10.05,'d','e'
9.35,'d','e'
8.71,'d','e'
11.27,'d','e'
8.02,'d','e'
7.49,'d','e'
7.61,'d','e'
9.94,'d','e'
10.23,'d','e'
10.19,'d','e'
9.52,'d','e'
10.18,'d','e'
11.53,'d','e'
9.67,'d','e'
7.65,'d','e'
8.65,'d','e'
7.93,'d','e'
9.92,'d','e'
11.29,'d','e'
12.55,'d','e'
10.62,'d','e'
12.29,'d','e'
9.29,'d','e'
10.12,'d','e'
7.42,'d','e'
12.27,'d','e'
12.45,'d','e'
9.88,'d','e'
9.41,'d','e'
9.82,'d','e'
11.91,'d','e'
6.47,'d','e'
10.03,'d','e'
10.98,'d','e'
9.91,'d','e'
10.52,'d','e'
10.9,'d','e'
11.76,'d','e'
10.13,'d','e'
6.19,'d','e'
11.69,'d','e'
10.76,'d','e'
10.59,'d','e'
12.9,'d','e'
13.24,'d','e'
9.4,'d','e'
10.96,'d','e'
12.85,'d','e'
9.61,'d','e'
10.45,'d','e'
10.61,'d','e'
9.14,'d','e'
10.44,'d','e'
10.35,'d','e'
7.03,'d','e'
11.85,'d','e'
7.48,'d','e'
12.06,'d','e'
9.45,'d','e'
7.36,'d','e'
6.79,'d','e'
10.08,'d','e'
11.42,'d','e'
11.77,'d','e'
12.37,'d','e'
10.95,'d','e'
12.59,'d','e'
9.78,'d','e'
9.86,'d','e'
10.72,'d','e'
13.76,'d','e'
11.64,'d','e'
13.24,'d','e'
10.22,'d','e'
5.87,'d','e'
10.46,'d','e'
10.65,'d','e'
9.47,'d','e'
8.36,'d','e'
9.34,'d','e'
9.64,'d','e'
13.64,'d','e'
9.98,'d','e'
9.38,'d','e'
10.96,'d','e'
12.32,'d','e'
9.98,'d','e'
10.28,'d','e'
6.71,'d','e'
11.52,'d','e'
7.47,'d','e'
10.18,'d','e'
11.62,'d','e'
9.5,'d','e'
10.29,'d','e'
8.21,'d','e'
10.1,'d','e'
9.29,'d','e'
12.17,'d','e'
8.2,'d','e'
8.8,'d','e'
12.2,'d','e'
9.98,'d','e'
11.2,'d','e'
10.21,'d','e'
9.55,'d','e'
8.29,'d','e'
9.17,'d','e'
9.73,'d','e'
11.9,'d','e'
10.33,'d','e'
11.18,'d','e'
9.15,'d','e'
9.67,'d','e'
12.15,'d','e'
9.11,'d','e'
6.66,'d','e'
11.4,'d','e'
11.21,'d','e'
9.6,'d','e'
10.57,'d','e'
11.02,'d','e'
10.3,'d','e'
10.91,'d','e'
11.76,'d','e'
11.72,'d','e'
9.58,'d','e'
11.7,'d','e'
10.22,'d','e'
8.37,'d','e'
11.35,'d','e'
11.13,'d','e'
11.67,'d','e'
9.55,'d','e'
10.8,'d','e'
9.47,'d','e'
7.36,'d','e'
11.32,'d','e'
8.12,'d','e'
9.36,'d','e'
11.05,'d','e'
8.12,'d','e'
9.7,'d','e'
9.86,'d','e'
9.25,'d','e'
11.48,'d','e'
10.78,'d','e'
9.05,'d','e'
9.82,'d','e'
9.51,'d','e'
10.79,'d','e'
8.04,'d','e'
10.06,'d','e'
12.81,'d','e'
